REACTION,DELTAG [kJ/mol],UNCERTAINTY [kJ/mol]
EX_pheme(e)_rev,-999999,0
EX_phyQ(e)_rev,-999999,0
EX_phyt(e)_rev,-999999,0
EX_pi(e)_rev,-999999,0
EX_pnto_R(e)_rev,-999999,0
EX_ppa(e)_rev,-999999,0
EX_prgstrn(e)_rev,-999999,0
EX_pro_D(e)_rev,-999999,0
EX_pro_L(e)_rev,-999999,0
EX_prostgd2(e)_rev,-999999,0
EX_prostge1(e)_rev,-999999,0
EX_prostge2(e)_rev,-999999,0
EX_prostgf2(e)_rev,-999999,0
EX_ps_hs(e)_rev,-999999,0
EX_ptdca(e)_rev,-999999,0
EX_pydam(e)_rev,-999999,0
EX_pydx(e)_rev,-999999,0
EX_pydxn(e)_rev,-999999,0
EX_pyr(e)_rev,-999999,0
EX_rbt(e)_rev,-999999,0
EX_retfa(e)_rev,-999999,0
EX_retinol(e)_rev,-999999,0
EX_retinol_9_cis(e)_rev,-999999,0
EX_retinol_cis_11(e)_rev,-999999,0
EX_retn(e)_rev,-999999,0
EX_retnglc(e)_rev,-999999,0
EX_rib_D(e)_rev,-999999,0
EX_ribflv(e)_rev,-999999,0
EX_Rtotal(e)_rev,-999999,0
EX_Rtotal2(e)_rev,-999999,0
EX_Rtotal3(e)_rev,-999999,0
EX_s2l2fn2m2masn(e)_rev,-999999,0
EX_s2l2n2m2masn(e)_rev,-999999,0
EX_sarcs(e)_rev,-999999,0
EX_sel(e)_rev,-999999,0
EX_ser_D(e)_rev,-999999,0
EX_ser_L(e)_rev,-999999,0
EX_sl_L(e)_rev,-999999,0
EX_so4(e)_rev,-999999,0
EX_spc_hs(e)_rev,-999999,0
EX_sph1p(e)_rev,-999999,0
EX_sphs1p(e)_rev,-999999,0
EX_srtn(e)_rev,-999999,0
EX_strch1(e)_rev,-999999,0
EX_strch2(e)_rev,-999999,0
EX_strdnc(e)_rev,-999999,0
EX_succ(e)_rev,-999999,0
EX_sucr(e)_rev,-999999,0
EX_tag_hs(e)_rev,-999999,0
EX_tagat_D(e)_rev,-999999,0
EX_taur(e)_rev,-999999,0
EX_taxol(e)_rev,-999999,0
EX_tchola(e)_rev,-999999,0
EX_tcynt(e)_rev,-999999,0
EX_tdchola(e)_rev,-999999,0
EX_tethex3(e)_rev,-999999,0
EX_tetpent3(e)_rev,-999999,0
EX_tetpent6(e)_rev,-999999,0
EX_tettet6(e)_rev,-999999,0
EX_thf(e)_rev,-999999,0
EX_thm(e)_rev,-999999,0
EX_thmmp(e)_rev,-999999,0
EX_thmtp(e)_rev,-999999,0
EX_thr_L(e)_rev,-999999,0
EX_thym(e)_rev,-999999,0
EX_thymd(e)_rev,-999999,0
EX_thyox_L(e)_rev,-999999,0
EX_tmndnc(e)_rev,-999999,0
EX_tolbutamide(e)_rev,-999999,0
EX_tre(e)_rev,-999999,0
EX_triodthy(e)_rev,-999999,0
EX_triodthysuf(e)_rev,-999999,0
EX_trp_L(e)_rev,-999999,0
EX_tststerone(e)_rev,-999999,0
EX_tststeroneglc(e)_rev,-999999,0
EX_tststerones(e)_rev,-999999,0
EX_tsul(e)_rev,-999999,0
EX_ttdca(e)_rev,-999999,0
EX_txa2(e)_rev,-999999,0
EX_tymsf(e)_rev,-999999,0
EX_Tyr_ggn(e)_rev,-999999,0
EX_tyr_L(e)_rev,-999999,0
EX_udp(e)_rev,-999999,0
EX_ump(e)_rev,-999999,0
EX_ura(e)_rev,-999999,0
EX_urate(e)_rev,-999999,0
EX_urea(e)_rev,-999999,0
EX_uri(e)_rev,-999999,0
EX_utp(e)_rev,-999999,0
EX_vacc(e)_rev,-999999,0
EX_val_L(e)_rev,-999999,0
EX_vitd2(e)_rev,-999999,0
EX_vitd3(e)_rev,-999999,0
EX_whddca(e)_rev,-999999,0
EX_whhdca(e)_rev,-999999,0
EX_whtststerone(e)_rev,-999999,0
EX_whttdca(e)_rev,-999999,0
EX_xolest_hs(e)_rev,-999999,0
EX_xolest2_hs(e)_rev,-999999,0
EX_xoltri24(e)_rev,-999999,0
EX_xoltri25(e)_rev,-999999,0
EX_xoltri27(e)_rev,-999999,0
EX_xyl_D(e)_rev,-999999,0
EX_xylt(e)_rev,-999999,0
EX_yvite(e)_rev,-999999,0
F1Atg_rev,0,0
F1PGT_rev,61.35,6.2
FA120ACPH_rev,-999999,0
FA140ACPH_rev,-999999,0
FA141ACPH_rev,-999999,0
FA160ACPH_rev,-999999,0
FA161ACPH_rev,-999999,0
FA180ACPH_rev,-999999,0
FA181ACPH_rev,-999999,0
FA1821ACPH_rev,-999999,0
FA1822ACPH_rev,-999999,0
FA182ACPH_rev,-999999,0
FACOAL150_rev,-999999,0
FACOAL161_rev,22.73,2.76
FACOAL170_rev,22.73,2.76
FACOAL1812_rev,-999999,0
FACOAL1813_rev,22.73,2.76
FACOAL1821_rev,33.59,3.65
FACOAL1822_rev,-999999,0
FACOAL1831_rev,22.73,2.76
FACOAL1832_rev,22.73,2.76
FACOAL184_rev,22.73,2.76
FACOAL203_rev,22.73,2.76
FACOAL204_rev,23.83,3.77
FACOAL2042_rev,22.73,2.76
FACOAL205_rev,22.73,2.76
FACOAL206_rev,22.73,2.76
FACOAL224_rev,22.73,2.76
FACOAL2251_rev,22.73,2.76
FACOAL2252_rev,22.73,2.76
FACOAL226_rev,22.73,2.76
FACOAL240_rev,22.73,2.76
FACOAL241_rev,22.73,2.76
FACOAL244_1_rev,22.73,2.76
FACOAL245_1_rev,22.73,2.76
FACOAL245_2_rev,22.73,2.76
FACOAL246_1_rev,22.73,2.76
FACOAL260_rev,22.73,2.76
FADH2tx_rev,0,0
FADtx_rev,0,0
FALDH_rev,-10.92,7.37
FALDtly_rev,0,0
FALDtm_rev,0,0
FATP1t_rev,0,0
FATP2t_rev,0,0
FATP3t_rev,0,0
FATP4t_rev,0,0
FATP5t_rev,0,0
FATP6t_rev,0,0
FATP7t_rev,0,0
FATP8t_rev,0,0
FATP9t_rev,0,0
FBA_rev,-15.09,0.86
FBA2_rev,-28.94,1.85
FBA4_rev,-11.75,3.48
FBA5_rev,-17.05,3.62
FOLt2_rev,0,0
FORMCOAtx_rev,0,0
FORt2m_rev,0,0
FORtr_rev,0,0
FORtrn_rev,0,0
FRDPtc_rev,0,0
FRDPtr_rev,0,0
FRUt1r_rev,0,0
FRUt4_rev,0,0
FUC13GALACGLCGAL14ACGLCGALGLUSIDEte_rev,0,0
FUC13GALACGLCGAL14ACGLCGALGLUSIDEtg_rev,0,0
FUC14GALACGLCGALGLUSIDEte_rev,0,0
FUC14GALACGLCGALGLUSIDEtg_rev,0,0
FUCACGALFUCGALACGLCGALGLUSIDEte_rev,0,0
FUCACGALFUCGALACGLCGALGLUSIDEtg_rev,0,0
FUCACNGAL14ACGLCGALGLUSIDEte_rev,0,0
FUCACNGAL14ACGLCGALGLUSIDEtg_rev,0,0
FUCACNGALACGLCGALGLUSIDEte_rev,0,0
FUCACNGALACGLCGALGLUSIDEtg_rev,0,0
FUCFUC12GAL14ACGLCGALGLUSIDEte_rev,0,0
FUCFUC12GAL14ACGLCGALGLUSIDEtg_rev,0,0
FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEte_rev,0,0
FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEtg_rev,0,0
FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEte_rev,0,0
FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEtg_rev,0,0
FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEte_rev,0,0
FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_rev,0,0
FUCFUCGALACGLCGALGLUSIDEte_rev,0,0
FUCFUCGALACGLCGALGLUSIDEtg_rev,0,0
FUCGAL14ACGLCGALGLUSIDEte_rev,0,0
FUCGAL14ACGLCGALGLUSIDEtg_rev,0,0
FUCGALFUCGALACGLCGALGLUSIDEte_rev,0,0
FUCGALFUCGALACGLCGALGLUSIDEtg_rev,0,0
FUCGALGBSIDEte_rev,0,0
FUCGALGBSIDEtg_rev,0,0
FUM_rev,3.44,0.45
FUMm_rev,3.44,0.45
FUMSO3tm_rev,0,0
FUMSO4tm_rev,0,0
FUMtm_rev,0,0
FUMTSULtm_rev,0,0
G3PD1_rev,-68.63,4.88
G5SADrm_rev,-51.89,9.23
G6PDH1rer_rev,-39.11,5.21
G6PDH2r_rev,-42.54,5.19
G6PDH2rer_rev,-42.54,5.19
G6Pter_rev,0,0
GACMTRc_rev,-999999,0
GALACGLCGALGBSIDEte_rev,0,0
GALACGLCGALGBSIDEtg_rev,0,0
GALFUC12GAL14ACGLCGALGLUSIDEte_rev,0,0
GALFUC12GAL14ACGLCGALGLUSIDEtg_rev,0,0
GALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_rev,0,0
GALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_rev,0,0
GALGALFUCFUCGALACGLCGALACGLCGAL14ACGLCGALGLUSIDEte_rev,0,0
GALGALFUCFUCGALACGLCGALACGLCGAL14ACGLCGALGLUSIDEtg_rev,0,0
GALGALGALTHCRMte_rev,0,0
GALGALGALTHCRMtg_rev,0,0
GALGLUSIDEtg_rev,0,0
GALGLUSIDEtl_rev,0,0
GALOR_rev,56.41,6.11
GALSIDEtg_rev,0,0
GALSIDEtl_rev,0,0
GALT_rev,56.1,4.81
GALt1r_rev,0,0
GALt2_2_rev,0,0
GALt4_rev,0,0
GALU_rev,56.1,4.81
GAMt1r_rev,0,0
GAPD_rev,-54.3,4.78
GARFT_rev,-44.34,13.5
GBSIDEte_rev,0,0
GBSIDEtl_rev,0,0
GCC2am_rev,37.62,8.83
GCC2cm_rev,-47.64,4.96
GCCam_rev,-999999,0
GCCcm_rev,-999999,0
GCHOLAt_rev,0,0
GCHOLAte_rev,0,0
GCHOLAtx_rev,0,0
GD1B2te_rev,0,0
GD1B2tg_rev,0,0
GD1Cte_rev,0,0
GD1Ctg_rev,0,0
GDPFUCtg_rev,0,0
GDPtg_rev,0,0
GGT5r_rev,14.15,4.59
GGT6_rev,-14.15,4.59
GHMT2r_rev,6.72,2.01
GHMT2rm_rev,6.72,2.01
GK1_rev,-2.52,1.93
GK1m_rev,-2.52,1.93
GLACter_rev,0,0
GLCt1r_rev,0,0
GLCt2_2_rev,0,0
GLCt4_rev,0,0
GLCter_rev,0,0
GLCtg_rev,0,0
GLCURtly_rev,0,0
GLNLASEer_rev,17.22,7.37
GLNtN1_rev,0,0
GLRASE_rev,-68.44,7.36
GLUDxm_rev,-86.21,6.92
GLUDym_rev,-89.64,6.93
GLUt2m_rev,0,0
GLUtr_rev,0,0
GLXtm_rev,0,0
GLXtp_rev,0,0
GLYAMDTRc_rev,0.37,4.73
GLYATm_rev,-25.8,3.85
GLYBt4_2_r_rev,0,0
GLYBtm_rev,0,0
GLYCt_rev,0,0
GLYCtm_rev,0,0
GLYt2r_rev,0,0
GLYt2rL_rev,0,0
GLYt7_211_r_rev,0,0
GLYtm_rev,0,0
GLYtp_rev,0,0
GMPtg_rev,0,0
GMPtn_rev,0,0
GP1CALPHAte_rev,0,0
GP1CALPHAtg_rev,0,0
GP1Cte_rev,0,0
GP1Ctg_rev,0,0
GQ1BALPHAte_rev,0,0
GQ1BALPHAtg_rev,0,0
GQ1Bte_rev,0,0
GQ1Btg_rev,0,0
GSNt_rev,0,0
GSNtl_rev,0,0
GSNtm_rev,0,0
GT1Ate_rev,0,0
GT1Atg_rev,0,0
GTHRDt_rev,-11.33,4.76
GTHRDtr_rev,0,0
GTPtn_rev,0,0
GUAt_rev,0,0
GULN3D_rev,-62.75,7.33
GULNDer_rev,65.21,7.6
H2CO3D_rev,-36.6,6.9
H2O2t_rev,0,0
H2O2tly_rev,0,0
H2O2tn_rev,0,0
H2O2tp_rev,0,0
H2Ot_rev,0,0
H2Oter_rev,0,0
H2Otg_rev,0,0
H2Otly_rev,0,0
H2Otm_rev,0,0
H2Otn_rev,0,0
H2Otp_rev,0,0
HACD1m_rev,62.56,5.11
HACD1x_rev,62.56,5.11
HACD9m_rev,-55.92,5.1
HCO3_CLt_rev,0,0
HCOUMARINte_rev,0,0
HDCAtr_rev,0,0
HDCEAtr_rev,0,0
HDD2COAtx_rev,0,0
HESTRATRIOLte_rev,0,0
HESTRATRIOLtr_rev,0,0
HEXCCOAtx_rev,0,0
HEXCt_rev,0,0
HIBDm_rev,-63.77,5.46
HISTAtu_rev,0,0
HIStN1_rev,0,0
HMGCOAtm_rev,0,0
HMGCOAtx_rev,0,0
HPACtr_rev,0,0
HPDCAt_rev,0,0
HPYRtp_rev,0,0
HRETNtn_rev,0,0
HSD11B1r_rev,45.42,5.76
HSD11B2r_rev,41.99,5.75
HSD17B1_rev,50.79,5.32
HSD3A1r_rev,41.99,5.75
HSD3A2r_rev,45.42,5.76
HTAXOLte_rev,0,0
Htg_rev,0,0
Htr_rev,0,0
Htx_rev,0,0
HXANtl_rev,0,0
HYXNt_rev,0,0
ICDHyrm_rev,-7.39,5.17
IDOURtly_rev,0,0
IDPtn_rev,0,0
ILEt5m_rev,0,0
ILETA_rev,15.37,6.09
ILETAm_rev,15.37,6.09
ILEtec_rev,0,0
IMPC_rev,-22.16,11.15
INSt_rev,0,0
INStl_rev,0,0
INStm_rev,0,0
INSTt2r_rev,0,0
INSTt4_rev,0,0
IPDDIx_rev,4.9,4.73
IPDPtr_rev,0,0
IPDPtx_rev,0,0
It_rev,0,0
ITCOAL1m_rev,3.75,3.03
ITCOALm_rev,7.43,2.71
ITPtn_rev,0,0
KCC2t_rev,0,0
KCCt_rev,0,0
Kt3g_rev,0,0
LALDO_rev,-23.48,6.18
LCYSTAT_rev,8.68,3.64
LCYSTATm_rev,8.68,3.64
LDH_D_rev,-66.83,5.79
LDH_L_rev,-69.92,4.79
LDH_Lm_rev,-69.92,4.79
LEUKTRA4t_rev,0,0
LEUKTRA4tr_rev,0,0
LEUKTRB4t_rev,0,0
LEUKTRB4tr_rev,0,0
LEUKTRC4t_rev,0,0
LEUKTRD4t_rev,0,0
LEUKTRD4tr_rev,0,0
LEUKTRE4t_rev,0,0
LEUKTRF4t_rev,0,0
LEUt5m_rev,0,0
LEUTA_rev,2.51,2.54
LEUTAm_rev,2.51,2.54
LEUtec_rev,0,0
LGNCCOAtx_rev,0,0
LGNCt_rev,0,0
LIMNENte_rev,0,0
L_LACt2r_rev,0,0
L_LACt4r_rev,0,0
LNELDCt_rev,0,0
LNLCt_rev,0,0
LNLNCAt_rev,0,0
LNLNCGt_rev,0,0
LPCHOLt_rev,0,0
LS3_rev,-999999,0
LTC4CP_rev,15.08,4.25
LTD4DP_rev,15.08,4.25
LYStm_rev,0,0
LYStn_rev,0,0
MAGt_rev,0,0
MALSO3tm_rev,0,0
MALSO4tm_rev,0,0
MALtm_rev,0,0
MALTSULtm_rev,0,0
MALTt1r_rev,0,0
MAN6PI_rev,-2.55,0.62
MANt1r_rev,0,0
MANt4_rev,0,0
MCCCrm_rev,-33,5.48
MCLOR_rev,-55.92,5.1
MCOATA_rev,-999999,0
MCOATAm_rev,-999999,0
MDH_rev,-72.77,4.76
MDHm_rev,-72.77,4.76
MECOALm_rev,7.66,6.2
MECOAS1m_rev,3.99,6.43
MEOHt2_rev,0,0
MEOHtly_rev,0,0
MEOHtr_rev,0,0
METtec_rev,0,0
MGACONm_rev,-5.28,3.83
MGCHrm_rev,5.28,3.83
MI13456Ptn_rev,0,0
MI1346Ptn_rev,0,0
MI14Ptn_rev,0,0
MI1P_Dtn_rev,0,0
MICITDr_rev,-7.33,5.93
MINOHPtn_rev,0,0
MMEm_rev,0,4.73
MMMm_rev,7.57,3.34
MTHFC_rev,-36.25,4.96
MTHFCm_rev,-36.25,4.96
MTHFD_rev,-8.64,2.06
MTHFD2_rev,-5.21,2.05
MTHFD2m_rev,-5.21,2.05
MTHFDm_rev,-8.64,2.06
MTRI_rev,6.26,4.58
NADtn_rev,0,0
NAHCO3_HCLt_rev,0,0
NAIt_rev,0,0
NAt_rev,0,0
NAt3_1_rev,0,0
NAt3_1g_rev,0,0
NAt5_rev,0,0
NAtx_rev,0,0
NCKt_rev,0,0
NCNt_rev,0,0
NDPK1_rev,3.68,2.15
NDPK10_rev,-1.56,2.53
NDPK10m_rev,-1.56,2.53
NDPK10n_rev,-1.56,2.53
NDPK1m_rev,3.68,2.15
NDPK1n_rev,3.68,2.15
NDPK2_rev,0.85,2.04
NDPK2m_rev,0.85,2.04
NDPK2n_rev,0.85,2.04
NDPK3_rev,3.68,4.35
NDPK3m_rev,3.68,4.35
NDPK3n_rev,3.68,4.35
NDPK4_rev,0.05,4.58
NDPK4n_rev,0.05,4.58
NDPK5_rev,0.61,4.46
NDPK5n_rev,0.61,4.46
NDPK6_rev,-1.56,2.53
NDPK6m_rev,-1.56,2.53
NDPK6n_rev,-1.56,2.53
NDPK7_rev,-1.65,4.46
NDPK7n_rev,-1.65,4.46
NDPK8_rev,-2.68,2.79
NDPK8n_rev,-2.68,2.79
NDPK9_rev,-3.74,2.35
NDPK9m_rev,-3.74,2.35
NDPK9n_rev,-3.74,2.35
NH4t3r_rev,0,0
NH4tn_rev,0,0
NH4tp_rev,0,0
NICRNTtn_rev,0,0
NIFEDIPINEte_rev,0,0
NKCC2t_rev,0,0
NKCCt_rev,0,0
NMNATr_rev,54.09,6.69
NMNtn_rev,0,0
NOt_rev,0,0
NPTHLte_rev,0,0
NRPPHRt4_2_r_rev,0,0
NRPPHRtu_rev,0,0
NRVNCCOAtx_rev,0,0
NRVNCt_rev,0,0
O2St_rev,0,0
O2Stm_rev,0,0
O2Stn_rev,0,0
O2Stx_rev,0,0
O2t_rev,0,0
O2ter_rev,0,0
O2tm_rev,0,0
O2tn_rev,0,0
O2tp_rev,0,0
OAGD3te_rev,0,0
OAGD3tg_rev,0,0
OAGT3te_rev,0,0
OAGT3tg_rev,0,0
OCCOAtx_rev,0,0
OCDCAtr_rev,0,0
OCDCEAtr_rev,0,0
OCTAt_rev,0,0
ODECOAtx_rev,0,0
OMEPRAZOLEte_rev,0,0
ONPTHLte_rev,0,0
ORETNtn_rev,0,0
ORETNtn2_rev,0,0
ORNt3m_rev,0,0
ORNt4m_rev,0,0
ORNTArm_rev,22.3,7.34
ORPT_rev,-9.31,2.12
P450SCC1m_rev,450.36,7.01
PA_HSter_rev,0,0
PA_HStg_rev,0,0
PA_HStn_rev,0,0
PAFt_rev,0,0
PAIL_HStn_rev,0,0
PAIL45P_HStn_rev,0,0
PAIL4P_HStn_rev,0,0
PAPStg_rev,0,0
PCHOL_HSter_rev,0,0
PCHOL_HStg_rev,0,0
PE_HSter_rev,0,0
PE_HStg_rev,0,0
PE_HStm_rev,0,0
PEPLYStn_rev,0,0
PERILLYLte_rev,0,0
PEt_rev,0,0
PGDI_rev,-999999,0
PGDIr_rev,-999999,0
PGESr_rev,-999999,0
PGI_rev,-2.55,0.62
PGISr_rev,-999999,0
PGK_rev,-17,0.71
PGLYCt_rev,0,0
PGM_rev,4.12,0.58
PGMT_rev,7.39,1.2
PHCHGSm_rev,8.66,9.77
PHEACGLNt_rev,0,0
PHEMEtm_rev,0,0
PHETA1_rev,1.7,3.34
PHETA1m_rev,1.7,3.34
PHEtec_rev,0,0
PHYTt_rev,0,0
PIt7_rev,0,0
PIter_rev,0,0
PItn_rev,0,0
PItx_rev,0,0
PMANM_rev,7.39,1.2
PMTCOAtx_rev,0,0
PNP_rev,-22.41,6.69
PPItr_rev,0,0
PPItx_rev,0,0
PPM_rev,11.03,2.45
PPMI12346Ptn_rev,0,0
PPMI1346Ptn_rev,0,0
PPPG9tm_rev,0,0
PPPItn_rev,0,0
PRAGSr_rev,-26.41,6.37
PRASCS_rev,-40.72,8.74
PRGNLONEtm_rev,0,0
PRGNLONEtr_rev,0,0
PRGSTRNt_rev,0,0
PRISTANALtx_rev,0,0
PRISTCOAtx_rev,0,0
PRISTtx_rev,0,0
PRODt2r_rev,0,0
PRODt2rL_rev,0,0
PROSTGD2t_rev,0,0
PROSTGE1t_rev,0,0
PROSTGE2t_rev,0,0
PROSTGE2t2_rev,0,0
PROSTGF2t_rev,0,0
PROSTGH2t_rev,0,0
PROSTGI2t_rev,0,0
PROSTGI2tr_rev,0,0
PROt2r_rev,0,0
PROt2rL_rev,0,0
PRPPS_rev,-48,5.28
PS_HSter_rev,0,0
PS_HStg_rev,0,0
PSSA1_hs_rev,-999999,0
PSSA2_hs_rev,-999999,0
PSt3_rev,0,0
PTDCAt_rev,0,0
PUNP1_rev,-7.63,2.14
PUNP2_rev,-10.48,5.46
PUNP3_rev,-10.75,3.34
PUNP4_rev,-14.92,6.7
PUNP5_rev,-9.18,1.72
PUNP6_rev,-9.48,2.73
PUNP7_rev,-10.29,4.73
PVD3_rev,-999999,0
PYAM5Ptm_rev,0,0
PYDAMtr_rev,0,0
PYDX5Ptm_rev,0,0
PYDXNtr_rev,0,0
PYDXtr_rev,0,0
PYNP2r_rev,-3.62,2.12
PYRt2m_rev,0,0
PYRt2p_rev,0,0
PYRt2r_rev,0,0
RAI1_rev,-7.7,4.73
RAI2_rev,0,0
RAI3_rev,0,0
RAI4_rev,-999999,0
RAtn_rev,0,0
RAtn3_rev,0,0
RDH1_rev,-53.79,5.46
RDH2_rev,-53.79,5.46
RDH3_rev,-61.48,7.23
RDH4_rev,-53.79,5.46
RETI1_rev,0,0
RETI2_rev,0,0
RETI3_rev,0,0
RETNt_rev,0,0
RIBt_rev,0,0
RPE_rev,3.57,1.86
RPI_rev,-2.16,1.23
RTOTAL2t_rev,0,0
RTOTAL3t_rev,0,0
RTOTALt_rev,0,0
Rtotaltl_rev,0,0
Rtotaltp_rev,0,0
S3TASE1ly_rev,-999999,0
S3TASE2ly_rev,-999999,0
S3TASE3ly_rev,-999999,0
S4TASE1ly_rev,-999999,0
S4TASE2ly_rev,-999999,0
S4TASE3ly_rev,-999999,0
S4TASE4ly_rev,-999999,0
S4TASE5ly_rev,-999999,0
S6TASE10ly_rev,-999999,0
S6TASE11ly_rev,-999999,0
S6TASE12ly_rev,-999999,0
S6TASE13ly_rev,-999999,0
S6TASE14ly_rev,-999999,0
S6TASE15ly_rev,-999999,0
S6TASE16ly_rev,-999999,0
S6TASE17ly_rev,-999999,0
S6TASE18ly_rev,-999999,0
S6TASE19ly_rev,-999999,0
S6TASE1ly_rev,-999999,0
S6TASE20ly_rev,-999999,0
S6TASE21ly_rev,-999999,0
S6TASE22ly_rev,-999999,0
S6TASE23ly_rev,-999999,0
S6TASE24ly_rev,-999999,0
S6TASE25ly_rev,-999999,0
S6TASE26ly_rev,-999999,0
S6TASE2ly_rev,-999999,0
S6TASE3ly_rev,-999999,0
S6TASE4ly_rev,-999999,0
S6TASE5ly_rev,-999999,0
S6TASE6ly_rev,-999999,0
S6TASE7ly_rev,-999999,0
S6TASE8ly_rev,-999999,0
S6TASE9ly_rev,-999999,0
SCP21x_rev,0,0
SCP22x_rev,0,0
SEAHCYStn_rev,0,0
SEASMETtn_rev,0,0
SELt4_3_rev,0,0
Ser_Thrtg_rev,0,0
SERDGLNexR_rev,0,0
SERDGLYexR_rev,0,0
SERGLNexR_rev,0,0
SERGLYexR_rev,0,0
SERtN1_rev,0,0
SERtp_rev,0,0
SGALSIDEtg_rev,0,0
SGALSIDEtl_rev,0,0
sink_pre_prot(r)_rev,-999999,0
SLDx_rev,-55.92,5.1
SLDxm_rev,-55.92,5.1
SO4t4_2_rev,0,0
SO4tl_rev,0,0
SPC_HSt_rev,0,0
SPH1Pte_rev,0,0
SPH1Ptr_rev,0,0
SPHGNtr_rev,0,0
SPHINGStl_rev,0,0
SPHINGStr_rev,0,0
SPHMYLNtg_rev,0,0
SPHMYLNtl_rev,0,0
SPHS1Pte_rev,0,0
SPHS1Ptr_rev,0,0
SRTNt6_2_r_rev,0,0
SRTNtu_rev,0,0
STCOAtx_rev,0,0
STRDNCt_rev,0,0
SUCCt2m_rev,0,0
SUCCt4_2_rev,0,0
SUCCtp_rev,0,0
SUCD1m_rev,-40.72,5.78
SUCOAS1m_rev,-1.03,0.75
SUCOASm_rev,2.65,2.15
T2M26DCOAHLm_rev,-1.26,3.8
T2M26DCOAHLx_rev,-1.26,3.8
TAGt_rev,0,0
TALA_rev,0.95,2.28
TAURt4_2_r_rev,0,0
TAURtcx_rev,0,0
TAXOLte_rev,0,0
TCHOLAt_rev,0,0
TCHOLAte_rev,0,0
TCHOLAtx_rev,0,0
TDCHOLAte_rev,0,0
TDCHOLAtx_rev,0,0
TETHEX3COAtx_rev,0,0
TETHEX3t_rev,0,0
TETPENT3COAtx_rev,0,0
TETPENT3t_rev,0,0
TETPENT6COAtx_rev,0,0
TETPENT6t_rev,0,0
TETTET6COAtx_rev,0,0
TETTET6t_rev,0,0
THCHOLSTOICtm_rev,0,0
THFt2_rev,0,0
THFtl_rev,0,0
THFtm_rev,0,0
THMMPt4_rev,0,0
THMMPtm_rev,0,0
THMt3_rev,0,0
THP2Ctp_rev,0,0
THRGLNexR_rev,0,0
THRGLYexR_rev,0,0
THYMDtl_rev,0,0
THYMDtm_rev,0,0
THYMt_rev,0,0
THYOXt_rev,0,0
THYOXt2_rev,0,0
TKT1_rev,3.93,3.1
TKT2_rev,10.4,3.1
TMDPP_rev,-3.28,7.23
TMNDNCCOAtx_rev,0,0
TMNDNCt_rev,0,0
TOLBUTAMIDEte_rev,0,0
TPI_rev,-5.48,0.89
TRIODTHYt_rev,0,0
TRIODTHYt2_rev,0,0
TRPt_rev,0,0
TS3_rev,0,0
TSTSTERONEGLCtr_rev,0,0
TSTSTERONESte_rev,0,0
TSTSTERONEt_rev,0,0
TSTSTERONEtr_rev,0,0
TSULt4_3_rev,0,0
TTDCAtr_rev,0,0
TXA2te_rev,0,0
TXA2tr_rev,0,0
TYRt_rev,0,0
TYRTA_rev,1.2,3.34
TYRTAm_rev,1.2,3.34
UAG4E_rev,0,0
UDPACGALtl_rev,0,0
UDPG4E_rev,0,0
UDPGALtg_rev,0,0
UDPGLCAter_rev,0,0
UDPGLCAtg_rev,0,0
UDPGLCter_rev,0,0
UDPGLCtg_rev,0,0
UDPtl_rev,0,0
UDPXYLter_rev,0,0
UDPXYLtg_rev,0,0
UGALNACter_rev,0,0
UGALNACtg_rev,0,0
UGLCNACtg_rev,0,0
UGLT_rev,0,0
UGT1A10r_rev,-23.24,10.83
UMPK_rev,-3.35,5.15
UMPK2_rev,-7.02,6.7
UMPK2n_rev,-7.02,6.7
UMPK3_rev,-4.19,4.73
UMPK3n_rev,-4.19,4.73
UMPK4_rev,-7.02,5.58
UMPK4n_rev,-7.02,5.58
UMPK5_rev,-0.67,5.85
UMPK5n_rev,-0.67,5.85
UMPK6_rev,-1.69,6.8
UMPK6n_rev,-1.69,6.8
UMPK7_rev,-3.95,6.8
UMPK7n_rev,-3.95,6.8
UMPKm_rev,-3.35,5.15
UMPKn_rev,-3.35,5.15
UMPtr_rev,0,0
URAt_rev,0,0
UREAt_rev,0,0
UREAt5_rev,0,0
UREAtm_rev,0,0
URIDK2m_rev,-3.17,2.57
URIt_rev,0,0
Uritl_rev,0,0
Uritm_rev,0,0
Uritn_rev,0,0
UROLACer_rev,13.99,7.05
UTPtn_rev,0,0
VACCt_rev,0,0
VALt5m_rev,0,0
VALTA_rev,8.53,5.97
VALTAm_rev,8.53,5.97
VALtec_rev,0,0
VD3_rev,-4.79,4.54
VITD2tm_rev,0,0
WHDDCAte_rev,0,0
WHHDCAte_rev,0,0
WHTSTSTERONEte_rev,0,0
WHTTDCAte_rev,0,0
XOL27OHtm_rev,0,0
XOL7AH2tm_rev,0,0
XOL7AH2tr_rev,0,0
XOL7AONEtr_rev,0,0
XOLDIOLONEt_rev,0,0
XOLDIOLONEtm_rev,0,0
